,Unnamed: 0,policy_number,claim_number,make_x,Type,luxury_model,surveyorclassification,reapairer_type,type_of_claim,netlabmountsum,parts_net_amountsum,losscategory,amount_paid_y,year_month,product_code,model,pol_no,year_of_manufacture,Ageofthevehicle,addon_type
899999,1176346,HOP0642152000100,HP00047809,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,12753.44,1443.84,SmallLoss,14909.0,2019,VPC,Amaze 1.2 VX MT - Petrol,HOP0642152000100,2015,Lessthan4years,DEP
900000,1176349,HOP0626146000100,HP00047406,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,4174.25,0.0,SmallLoss,3648.0,2019,VPC,New Amaze 1.2 VX MT,HOP0626146000100,2018,Lessthan4years,DEP
900001,1176350,HOP0626146000100,HP00047078,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7094.75,0.0,SmallLoss,6721.0,2019,VPC,New Amaze 1.2 VX MT,HOP0626146000100,2018,Lessthan4years,DEP
900002,1176351,HOP0626146000100,HP00043224,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,8582.43,3454.0,SmallLoss,11955.0,2018,VPC,New Amaze 1.2 VX MT,HOP0626146000100,2018,Lessthan4years,DEP
900003,1176352,HOP0563249000100,HP00038230,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,4376.62,0.0,SmallLoss,3875.0,2018,VPC,City,HOP0563249000100,2015,Lessthan4years,DEP
900004,1176353,HOP0563249000100,HP00038096,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,12554.32,1489.79,SmallLoss,15900.0,2018,VPC,City,HOP0563249000100,2015,Lessthan4years,DEP
900005,1176354,HOP0570260000100,HP00043459,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,0.0,2149.53,SmallLoss,3299.0,2018,VPC,WRV,HOP0570260000100,2017,Lessthan4years,DEP
900006,1176355,HOP0570260000100,HP00042524,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6520.97,259.7,SmallLoss,6758.0,2018,VPC,WRV,HOP0570260000100,2017,Lessthan4years,DEP
900007,1176356,HOP0570260000100,HP00043458,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6071.1,1256.37,SmallLoss,8197.0,2018,VPC,WRV,HOP0570260000100,2017,Lessthan4years,DEP
900008,1176357,MOP4814723000100,PM00597983,MARUTI,NHE_OEM,NHE,Internal,DEALER,OEM,20929.07,16871.809999999998,SmallLoss,42955.0,2018,VPC,New Swift Dzire VXI AT,MOP4814723000100,2018,Lessthan4years,DEP
900009,1176358,MOP5314028000100,PM00691690,MARUTI,NHE_OEM,NHE,Internal,DEALER,OEM,9832.2,8697.47,SmallLoss,25488.0,2019,VPC,Vitara Brezza,MOP5314028000100,2017,Lessthan4years,DEP
900010,1176359,MOP5200753000100,PM00664270,MARUTI,NHE_OEM,NHE,External,DEALER,OEM,4635.92,15135.4,SmallLoss,23834.0,2018,VPC,Vitara Brezza,MOP5200753000100,2017,Lessthan4years,DEP
900011,1176360,HOP0563397000100,HP00035427,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,2935.25,1587.69,SmallLoss,3472.0,2018,VPC,City,HOP0563397000100,2010,Greaterthan4years,NONDEP
900012,1176361,HOP0563397000100,HP00034993,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,16490.5,0.0,SmallLoss,15192.0,2018,VPC,City,HOP0563397000100,2010,Greaterthan4years,NONDEP
900013,1176362,HOP0554924000100,HP00036460,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,4100.5,0.0,SmallLoss,3530.0,2018,VPC,City 1.5 E MT,HOP0554924000100,2016,Lessthan4years,DEP
900014,1176363,HOP0622247000100,HP00039974,HONDA,NHE_OEM,NHE,External,DEALER,OEM,1239.0,3457.09,SmallLoss,3670.0,2018,VPC,Brio S,HOP0622247000100,2012,Greaterthan4years,NONDEP
900015,1176364,MOP5404775000100,PM00710603,MARUTI,NHE_OEM,NHE,Internal,DEALER,OEM,1062.0,3314.49,SmallLoss,3681.0,2019,VPC,Swift New ZXI,MOP5404775000100,2016,Lessthan4years,DEP
900016,1176365,HOP0611494000100,HP00043509,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,752.25,2102.17,SmallLoss,4017.0,2018,VPC,All New Jazz V CVT,HOP0611494000100,2016,Lessthan4years,DEP
900017,1176366,HOP0561974000100,HP00039752,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,634.25,1975.91,SmallLoss,3650.0,2018,VPC,Jazz,HOP0561974000100,2015,Lessthan4years,DEP
900018,1176367,HOP0563740000100,PV00470649,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,897.3900000000001,1895.08,SmallLoss,3791.0,2018,VPC,WRV 1.5 S MT,HOP0563740000100,2017,Lessthan4years,DEP
900019,1176368,HOP0597293000100,HP00048539,HONDA,NHE_OEM,NHE,External,DEALER,OEM,1298.0,3530.96,SmallLoss,3803.0,2019,VPC,WRV 1.2 VX MT,HOP0597293000100,2017,Lessthan4years,NONDEP
900020,1176369,HOP0595968000100,PV00505398,HONDA,NHE_OEM,NHE,Internal,TRS,OEM,4646.25,0.0,SmallLoss,3930.0,2019,VPC,Amaze 1.5 VX MT - Diesel,HOP0595968000100,2014,Greaterthan4years,DEP
900021,1176370,VPC0928917000100,PV00468426,HYUNDAI,NHE_NON_OEM,NHE,Internal,DEALER,NON_OEM,1416.0,3700.48,SmallLoss,3581.0,2018,VPC,Creta 1.6 VTVT SX Plus AT,VPC0928917000100,2017,Lessthan4years,DEP
900022,1176371,MOP5172195000100,PM00715953,MARUTI,NHE_OEM,NHE,Internal,DEALER,OEM,8504.85,14169.39,SmallLoss,25080.0,2019,VPC,New Ertiga ZDI Smart Hybrid,MOP5172195000100,2017,Lessthan4years,DEP
900023,1176372,MOP5166618000100,PM00667652,MARUTI,NHE_OEM,NHE,Internal,DEALER,OEM,5853.39,9198.4,SmallLoss,19058.0,2018,VPC,Ertiga,MOP5166618000100,2015,Lessthan4years,DEP
900024,1176373,MOP5236294000100,PM00712964,MARUTI,NHE_OEM,NHE,Internal,DEALER,OEM,4321.75,0.0,SmallLoss,3703.0,2019,VPC,Baleno,MOP5236294000100,2018,Lessthan4years,DEP
900025,1176374,HOP0584047000100,HP00044625,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,1079.7,1846.11,SmallLoss,3877.0,2018,VPC,Jazz,HOP0584047000100,2018,Lessthan4years,DEP
900026,1176375,MOP5053815000100,PM00622126,MARUTI,NHE_OEM,NHE,Internal,TRS,OEM,5193.48,3578.24,SmallLoss,7683.0,2018,VPC,Swift,MOP5053815000100,2013,Greaterthan4years,NONDEP
900027,1176376,MOP5024637000100,PM00639380,MARUTI,NHE_OEM,NHE,Internal,DEALER,OEM,12428.65,5401.36,SmallLoss,22196.0,2018,VPC,Swift New ZXI,MOP5024637000100,2014,Lessthan4years,DEP
900028,1176377,MOP5266657000100,PM00666806,MARUTI,NHE_OEM,NHE,Internal,DEALER,OEM,17316.65,9785.7,SmallLoss,32363.0,2018,VPC,Alto,MOP5266657000100,2017,Lessthan4years,DEP
900029,1176378,MOP4821445000100,PM00620882,MARUTI,NHE_OEM,NHE,Internal,DEALER,OEM,11628.759999999998,8084.96,SmallLoss,22968.0,2018,VPC,NEW SWIFT Lxi,MOP4821445000100,2018,Lessthan4years,DEP
900030,1176379,HOP0629354000100,HP00038835,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,4260.39,0.0,SmallLoss,3727.0,2018,VPC,All New Jazz VX MT,HOP0629354000100,2015,Lessthan4years,DEP
900031,1176380,HOP0579314000100,HP00044754,HONDA,NHE_OEM,NHE,External,DEALER,OEM,649.0,2102.17,SmallLoss,3900.0,2018,VPC,WRV,HOP0579314000100,2018,Lessthan4years,DEP
900032,1176381,HOBL107421000100,HP00051390,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,118.0,2396.16,SmallLoss,3908.0,2019,VPC,New Amaze 1.2 VX MT,HOBL107421000100,2018,Lessthan4years,NONDEP
900033,1176382,HOBL107421000100,HP00051739,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,5275.1900000000005,2044.16,SmallLoss,8966.0,2019,VPC,New Amaze 1.2 VX MT,HOBL107421000100,2018,Lessthan4years,NONDEP
900034,1176383,HOBL102540000100,HP00048667,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,634.25,1895.08,SmallLoss,3488.0,2019,VPC,All New Jazz V CVT,HOBL102540000100,2018,Lessthan4years,NONDEP
900035,1176384,HOBL102540000100,HP00048635,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,12505.05,0.0,SmallLoss,12780.0,2019,VPC,All New Jazz V CVT,HOBL102540000100,2018,Lessthan4years,NONDEP
900036,1176385,HOP0595290000100,HP00036991,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,0.0,2266.88,SmallLoss,3534.0,2018,VPC,WRV,HOP0595290000100,2018,Lessthan4years,DEP
900037,1176386,HOP0595290000100,HP00037004,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,15191.32,0.0,SmallLoss,16101.0,2018,VPC,WRV,HOP0595290000100,2018,Lessthan4years,DEP
900038,1176387,HOP0578180000100,HP00039993,HONDA,NHE_OEM,NHE,External,DEALER,OEM,2183.0,1116.42,SmallLoss,3673.0,2018,VPC,Amaze,HOP0578180000100,2014,Lessthan4years,DEP
